figure,file,section,title,insight
Table [T4_normality_tests],-,table,T4_normality_tests,"Returns reject normality decisively (JB p=0.00e+00, excess kurtosis=14.14) — the empirical motivation for RQ2."
Table [T5_outliers],-,table,T5_outliers,"Return outliers are retained, not winsorised: a breach IS an extreme move, so trimming the tail would remove the event the study predicts."
Figure 1,FIG_01_missingness.png,Data quality,missingness,"All 9 missing values are warm-up rows at the start of the series; none occur mid-series, so no imputation is needed."
Figure 2,FIG_02_price_history.png,Univariate,price history,"The index rises roughly 4.0x over the sample and spans several volatility regimes, including the 2020 drawdown — so any model must be evaluated walk-forward, not on a random split."
Figure 3,FIG_03_return_distribution_normality.png,Univariate,return distribution normality,Excess kurtosis 14.14 and Jarque-Bera p=0.0e+00: returns have far heavier tails than the Normal. The Q-Q plot bends at both ends. This is the empirical basis for asking (RQ2) whether the Gaussian band model is mis-specified.
Figure 4,FIG_04_volatility_clustering.png,Univariate,volatility clustering,Large moves cluster. Autocorrelation of returns at lag 1 is +0.004 (near zero) but of ABSOLUTE returns is +0.208 — volatility is predictable even though direction is not. This justifies conditioning the bands on recent volatility.
Figure 5,FIG_05_acf_returns_vs_absreturns.png,Univariate,acf returns vs absreturns,"Return autocorrelation stays inside the 95% band at every lag, while |return| autocorrelation is significant out to lag 20. Direction is unpredictable, magnitude is persistent — exactly the structure a volatility-scaled band exploits."
Figure 6,FIG_06_cycle_targets.png,Univariate,cycle targets,Observed upper-breach rate 15.5% against a theoretical 1-Phi(1.0) = 15.9%. The close agreement validates the band construction and confirms the class imbalance the F1 metric is chosen for.
Figure 7,FIG_07_core_feature_distributions.png,Univariate,core feature distributions,"The 8 core D2 features are all well-behaved and unimodal. days_left and sqrt_dl_frac are CONSTANT within a task by construction, which is why only six of the eight carry within-task information."
Table [T7_feature_label_separation],-,table,T7_feature_label_separation,"Standardised distance separates breach from no-breach at every decision day, and the separation widens from D2 to D4 as uncertainty resolves."
Figure 8,FIG_08_distance_by_breach_outcome.png,Bivariate,distance by breach outcome,"Cycles that breach sit measurably closer to the band at every decision day. The gap in means grows from 0.77 at D2 to 1.45 at D4 — predictability increases as expiry approaches, which is the effect RQ3 tests."
Figure 9,FIG_09_breach_rate_by_year.png,Bivariate,breach rate by year,"Breach rates vary year to year (coefficient of variation 0.27) with a clear spike in the 2020 volatility regime. The target is NOT stationary, which is why an expanding walk-forward design is used rather than a random train/test split."
Figure 10,FIG_10_breach_by_vol_quintile.png,Bivariate,breach by vol quintile,"Entry volatility rises more than threefold across quintiles (0.0046 to 0.0150), yet the breach rate spans only 9.9 pp and the pattern is non-monotonic (chi-square p=0.480, not significant). Because the band is itself scaled by volatility, the band construction has ALREADY absorbed the volatility signal — the strongest single explanation for why additional volatility features add so little."
Table [T10_upper_lower_contingency],-,table,T10_upper_lower_contingency,"No cycle breaches both bands (0 of 593). This is STRUCTURAL, not empirical: a single expiry close cannot lie both above the upper band and below the lower band. It justifies modelling the two directions as separate binary tasks rather than one three-class problem, and it is why the six task cells reduce to two independent label families for the multiplicity correction."
Figure 11,FIG_11_correlation_heatmap.png,Multivariate,correlation heatmap,3 feature pairs correlate above 0.80 in absolute value — distance and standardised distance are near-collinear by construction. This multicollinearity is why a regularised linear model is preferred over unpenalised logistic regression.
Table [T12_VIF],-,table,T12_VIF,"5 of 6 features exceed the conventional VIF threshold of 10. Distance and standardised distance differ only by a division by sigma, so redundancy is structural. L2-regularised logistic regression and tree ensembles tolerate this; unpenalised OLS would not, which is part of the model-choice justification."
Figure 12,FIG_12_mutual_information.png,Multivariate,mutual information,"'norm_dist_upper_D2' carries the most information about the label, and the distance family dominates. Mutual information is low in absolute terms for every feature, an early signal that the achievable discrimination is limited."
Figure 13,FIG_13_pca_scree_and_projection.png,Multivariate,pca scree and projection,"2 of 6 components explain 90% of the variance, confirming substantial redundancy. In the PC1-PC2 plane the two classes overlap heavily with no clean linear boundary — consistent with the modest separation found later."
Figure 14,FIG_14_label_autocorrelation.png,Multivariate,label autocorrelation,"Breach labels show no significant autocorrelation across cycles. Cycles are close to independent, which supports resampling cycles in the paired bootstrap."
